Paso_Quimiotactico_Global,Mejor_Fitness_Paso,NFE_Acumulado
0,-25133.0,27
1,-25181.0,46
2,-25229.0,64
3,-25373.0,88
4,-25469.0,108
5,-25469.0,118
6,-25517.0,138
7,-25565.0,158
8,-25443.0,179
9,-25491.0,199
10,-25491.0,209
11,-25491.0,219
12,-25491.0,229
13,-25587.0,250
14,-25404.0,270
15,-25548.0,291
16,-25548.0,301
17,-25596.0,320
18,-25596.0,330
19,-25596.0,340
20,-25644.0,360
21,-25644.0,370
22,-25644.0,380
23,-25740.0,399
24,-25788.0,419
25,-25932.0,440
26,-25932.0,450
27,-25932.0,460
28,-25932.0,470
29,-25932.0,480
30,-25932.0,490
31,-25932.0,500
32,-25932.0,510
33,-26076.0,533
34,-26076.0,543
35,-26076.0,553
36,-26076.0,563
37,-26124.0,583
38,-26124.0,593
39,-26172.0,612
40,-26220.0,632
41,-26220.0,642
42,-26316.0,661
43,-26316.0,671
44,-26364.0,691
45,-26364.0,701
46,-26364.0,711
47,-26364.0,721
48,-26364.0,731
49,-26412.0,750
50,-26412.0,760
51,-26412.0,770
52,-26412.0,780
53,-26412.0,790
54,-26412.0,800
55,-26412.0,810
56,-26412.0,820
57,-26412.0,830
58,-26412.0,840
59,-26460.0,857
60,-26508.0,875
61,-26508.0,885
62,-26508.0,895
63,-26508.0,905
64,-26556.0,924
65,-26550.0,944
66,-26550.0,954
67,-26550.0,964
68,-26598.0,984
69,-26598.0,994
70,-26598.0,1004
71,-26598.0,1014
72,-26598.0,1024
73,-26598.0,1034
74,-26646.0,1053
75,-26646.0,1063
76,-26646.0,1073
77,-26646.0,1083
78,-26742.0,1102
79,-26790.0,1122
80,-26790.0,1132
81,-26790.0,1142
82,-26790.0,1152
83,-26790.0,1162
84,-26790.0,1172
85,-26790.0,1182
86,-26790.0,1192
87,-26637.0,1211
88,-26637.0,1221
89,-26637.0,1231
90,-26637.0,1241
91,-26637.0,1251
92,-26637.0,1261
93,-26637.0,1271
94,-26637.0,1281
95,-26637.0,1291
96,-26637.0,1301
97,-26637.0,1311
98,-26637.0,1321
99,-26637.0,1331
100,-26637.0,1341
101,-26685.0,1358
102,-26685.0,1368
103,-26685.0,1378
104,-26659.0,1397
105,-26659.0,1407
106,-26659.0,1417
107,-26659.0,1427
108,-26659.0,1437
109,-26659.0,1447
110,-26659.0,1457
111,-26659.0,1467
112,-26659.0,1477
113,-26659.0,1487
114,-26659.0,1497
115,-26659.0,1507
116,-26659.0,1517
117,-26659.0,1527
118,-26659.0,1537
119,-26659.0,1547
120,-26659.0,1557
121,-26659.0,1567
122,-26659.0,1577
123,-26659.0,1587
124,-26659.0,1597
125,-26659.0,1607
126,-26659.0,1617
127,-26659.0,1626
128,-26659.0,1636
129,-26659.0,1646
130,-26707.0,1663
131,-26803.0,1683
132,-26803.0,1693
133,-26803.0,1703
134,-26803.0,1713
135,-26851.0,1733
136,-26850.0,1753
137,-26850.0,1763
138,-26850.0,1773
139,-26850.0,1783
140,-26850.0,1793
141,-26850.0,1803
142,-26850.0,1813
143,-26850.0,1823
144,-26850.0,1833
145,-26850.0,1843
146,-26850.0,1853
147,-26850.0,1863
148,-26850.0,1873
149,-26850.0,1882
150,-26850.0,1892
151,-26850.0,1902
152,-26850.0,1912
153,-26850.0,1922
154,-26850.0,1932
155,-26850.0,1942
156,-26850.0,1951
157,-26850.0,1961
158,-26850.0,1971
159,-26850.0,1981
160,-26850.0,1991
161,-26850.0,2000
162,-26850.0,2008
163,-26850.0,2018
164,-26850.0,2028
165,-26850.0,2038
166,-26850.0,2048
167,-26850.0,2058
168,-26850.0,2067
169,-26850.0,2077
170,-26898.0,2092
171,-26898.0,2102
172,-26898.0,2112
173,-26898.0,2122
174,-26898.0,2132
175,-26898.0,2141
176,-26898.0,2151
177,-26898.0,2161
178,-26898.0,2170
179,-26898.0,2180
180,-26898.0,2189
181,-26994.0,2210
182,-26994.0,2220
183,-26994.0,2230
184,-26994.0,2240
185,-26994.0,2250
186,-26994.0,2260
187,-27042.0,2279
188,-27042.0,2289
189,-27042.0,2299
190,-27042.0,2309
191,-27042.0,2319
192,-27138.0,2339
193,-27138.0,2349
194,-27138.0,2359
195,-27138.0,2369
196,-27138.0,2379
197,-27138.0,2389
198,-27138.0,2399
199,-27186.0,2417
200,-27186.0,2427
201,-27186.0,2437
202,-27186.0,2447
203,-27186.0,2457
204,-27186.0,2467
205,-27186.0,2477
206,-27186.0,2486
207,-27234.0,2504
208,-27234.0,2514
209,-27234.0,2524
210,-27234.0,2534
211,-27234.0,2544
212,-27234.0,2554
213,-27234.0,2564
214,-27282.0,2581
215,-27282.0,2591
216,-27282.0,2601
217,-27330.0,2619
218,-27330.0,2629
219,-27330.0,2639
220,-27330.0,2649
221,-27330.0,2659
222,-27330.0,2669
223,-27330.0,2679
224,-27330.0,2689
225,-27330.0,2699
226,-27330.0,2708
227,-27330.0,2718
228,-27330.0,2728
229,-27330.0,2738
230,-27330.0,2748
231,-27330.0,2758
232,-27330.0,2768
233,-27330.0,2778
234,-27330.0,2788
235,-27330.0,2797
236,-27330.0,2807
237,-27330.0,2816
238,-27330.0,2826
239,-27330.0,2836
240,-27330.0,2846
241,-27330.0,2856
242,-27330.0,2866
243,-27330.0,2876
244,-27330.0,2886
245,-27330.0,2894
246,-27330.0,2904
247,-27330.0,2914
248,-27325.0,2929
249,-27325.0,2939
250,-27325.0,2949
251,-27325.0,2959
252,-27325.0,2969
253,-27325.0,2979
254,-27325.0,2989
255,-27325.0,2999
256,-27325.0,3009
257,-27325.0,3019
258,-27325.0,3029
259,-27373.0,3047
260,-27373.0,3057
261,-27373.0,3067
262,-27469.0,3087
263,-27469.0,3097
264,-27469.0,3107
265,-27469.0,3117
266,-27469.0,3127
267,-27469.0,3137
268,-27469.0,3147
269,-27469.0,3157
270,-27469.0,3167
271,-27469.0,3177
272,-27469.0,3186
273,-27469.0,3196
274,-27469.0,3206
275,-27469.0,3216
276,-27469.0,3226
277,-27469.0,3236
278,-27469.0,3246
279,-27469.0,3256
280,-27469.0,3266
281,-27469.0,3276
282,-27469.0,3286
283,-27469.0,3295
284,-27469.0,3304
285,-27469.0,3314
286,-27469.0,3324
287,-27469.0,3334
288,-27469.0,3344
289,-27469.0,3354
290,-27469.0,3363
291,-27469.0,3373
292,-27469.0,3383
293,-27469.0,3392
294,-27469.0,3402
295,-27469.0,3412
296,-27517.0,3428
297,-27517.0,3438
298,-27517.0,3448
299,-27517.0,3458
300,-27517.0,3468
301,-27517.0,3478
302,-27517.0,3488
303,-27517.0,3498
304,-27517.0,3508
305,-27517.0,3518
306,-27517.0,3528
307,-27517.0,3538
308,-27517.0,3548
309,-27517.0,3558
310,-27517.0,3568
311,-27517.0,3578
312,-27517.0,3588
313,-27517.0,3598
314,-27517.0,3608
315,-27517.0,3618
316,-27517.0,3628
317,-27517.0,3638
318,-27517.0,3648
319,-27517.0,3658
320,-27517.0,3667
321,-27517.0,3676
322,-27517.0,3686
323,-27517.0,3696
324,-27517.0,3706
325,-27517.0,3716
326,-27517.0,3726
327,-27517.0,3735
328,-27517.0,3745
329,-27613.0,3764
330,-27613.0,3774
331,-27613.0,3784
332,-27613.0,3794
333,-27613.0,3804
334,-27613.0,3814
335,-27613.0,3824
336,-27613.0,3834
337,-27613.0,3844
338,-27613.0,3854
339,-27613.0,3864
340,-27613.0,3874
341,-27613.0,3884
342,-27613.0,3894
343,-27613.0,3904
344,-27613.0,3914
